roll,pitch,yaw,x,y,z
-1.4737,0.910612,-1.76383,0.819512,0.902637,-0.83441
1.43842,-0.229127,-1.40363,8.75276,0.4077,-2.93775
-1.56708,0.217458,-1.67632,-0.00894325,-0.349296,-1.35093
2.24413,0.451678,-1.92226,7.93567,-2.30149,1.30141
-1.5127,0.632818,-1.73349,0.856329,1.51091,-1.28069
-1.58224,0.204515,-1.67829,-0.00555947,-0.371303,-1.27866
3.11358,-0.341237,-1.31238,4.38801,1.47111,2.06332
1.51531,-0.194133,-1.3041,8.60875,0.47756,-2.42886
1.62121,-0.211822,-1.44369,8.79982,-0.0760008,-1.97081
1.47278,-0.225134,-1.40018,8.81962,0.455597,-2.81468
1.98191,0.939735,1.46662,1.11269,1.92138,-0.126407
-1.55977,0.209594,-1.6786,0.0457974,0.322431,-1.79961
1.11775,1.92304,1.10445,0.796486,0.643175,-0.618248
-1.58539,0.20923,-1.69795,-0.00204946,-0.311141,-1.25138
2.15585,0.468478,-1.69992,8.74037,-0.685909,0.756686
-2.10062,1.11797,-2.08189,0.874735,0.608304,-0.272653
2.11897,0.183858,-2.02418,8.19015,-2.09968,1.13367
-1.62954,1.46596,-2.08368,1.29502,2.74322,-1.2704
2.11437,0.349065,-1.77063,8.75258,-0.675586,0.723674
-1.58097,0.203863,-1.68692,-0.00482994,-0.335483,-1.28233
