roll,pitch,yaw,x,y,z
-1.69305,-0.0164667,-1.49478,0.0603029,0.0125469,-0.199757
-1.69902,-0.038353,-1.48225,0.0527982,-0.0234236,-0.203021
-1.68583,-0.0197179,-1.49623,0.0612626,0.0128465,-0.215883
-1.69381,-0.0237449,-1.4936,0.0624031,0.00934518,-0.204753
-1.68629,-0.0337262,-1.48181,0.0518787,-0.0205662,-0.223233
-1.67401,-0.0327109,-1.4968,0.0637424,0.0119792,-0.249646
-1.70223,-0.0413936,-1.49268,0.055685,0.0119411,-0.202102
-1.68733,-0.0164595,-1.49634,0.0626338,0.0134701,-0.210315
-1.6994,-0.0224512,-1.48935,0.0569035,-0.00572465,-0.186276
-1.69599,-0.0263868,-1.49201,0.0615847,0.00421764,-0.200283
-1.69887,-0.0152671,-1.49797,0.0612467,0.0194427,-0.176665
-1.69057,-0.0210718,-1.49227,0.0597894,0.00656372,-0.210837
-1.69892,-0.0475584,-1.47863,0.0482202,-0.0292924,-0.20484
-1.69832,-0.0232689,-1.50196,0.0654074,0.0332472,-0.1836
-1.6896,-0.0199412,-1.49261,0.0582678,0.00182692,-0.205928
-1.69754,-0.047246,-1.47929,0.0482005,-0.0284891,-0.214321
-1.6943,-0.0194511,-1.4963,0.0601377,0.0133122,-0.195909
