roll,pitch,yaw,x,y,z
-1.58003,0.0214561,-1.56006,0.765289,-0.0283652,-0.349201
-1.57652,0.0207991,-1.56147,0.761332,-0.0227577,-0.357688
-1.57973,0.0278368,-1.57676,0.753585,0.0243213,-0.351128
-1.5864,0.0228719,-1.55738,0.769009,-0.0391066,-0.329535
-1.56856,0.0184978,-1.56426,0.757156,-0.0120457,-0.381868
-1.57805,0.016896,-1.55015,0.749905,-0.0511557,-0.353017
-1.57603,0.02499,-1.56896,0.757368,0.00165739,-0.361382
-1.58176,0.0210532,-1.55711,0.763363,-0.0321348,-0.345277
-1.57414,0.0267822,-1.56264,0.761033,-0.0220162,-0.368582
-1.58649,0.0245777,-1.56459,0.766388,-0.0111495,-0.328949
-1.60145,0.0245607,-1.56232,0.791432,-0.0214531,-0.28162
-1.57261,0.0140068,-1.55727,0.749142,-0.0273996,-0.369413
-1.57432,0.0211822,-1.55498,0.758662,-0.0376682,-0.36655
-1.58514,0.0242993,-1.56691,0.785265,-0.00418052,-0.332268
-1.57635,0.0266221,-1.56319,0.761711,-0.0205713,-0.361404
-1.59825,0.0248123,-1.56132,0.773131,-0.0247098,-0.293305
-1.57863,0.0202949,-1.56213,0.76093,-0.0160486,-0.354804
-1.57339,0.0263562,-1.5623,0.760531,-0.0233542,-0.372505
-1.57408,0.0313272,-1.55584,0.752305,-0.0410794,-0.366925
-1.60537,0.0210729,-1.55878,0.778273,-0.0246031,-0.271862
-1.57231,0.0214234,-1.5686,0.768472,0.00469973,-0.36967
-1.57967,0.0186439,-1.56886,0.765536,0.00642885,-0.35267
-1.58841,0.0236784,-1.55938,0.779278,-0.0304194,-0.321758
-1.57184,0.0216091,-1.56656,0.762594,-0.002088,-0.375962
-1.5706,0.0265177,-1.56014,0.762305,-0.0309887,-0.380775
-1.56675,0.0453698,-1.55865,0.748757,-0.0377652,-0.389477
-1.57301,0.0213891,-1.5692,0.771146,0.00959301,-0.368342
-1.57225,0.0223666,-1.5696,0.76471,0.00767891,-0.37167
-1.57243,0.0403208,-1.55792,0.752792,-0.038217,-0.373348
-1.56421,0.0206437,-1.5784,0.765791,0.0386142,-0.392879
-1.56157,0.0197261,-1.55434,0.760163,-0.0439642,-0.404608
-1.56905,0.0183734,-1.5753,0.76338,0.0287347,-0.386373
-1.56479,0.0203993,-1.56575,0.761603,-0.00383773,-0.396596
-1.59587,0.0234761,-1.5634,0.777516,-0.0168324,-0.296946
-1.56671,0.0416387,-1.56295,0.749496,-0.0225504,-0.390006
-1.59004,0.02279,-1.55963,0.768087,-0.0247242,-0.316761
-1.57659,0.0229267,-1.5536,0.776901,-0.0501166,-0.359979
-1.57213,0.0256914,-1.5537,0.767095,-0.0492939,-0.373829
-1.59604,0.0234482,-1.56206,0.778545,-0.0213017,-0.294151
-1.57969,0.0195215,-1.56184,0.768422,-0.0219008,-0.344565
-1.56976,0.0182776,-1.57696,0.765795,0.0339826,-0.384147
-1.58767,0.0226548,-1.55878,0.766661,-0.0261195,-0.319905
-1.57144,0.0193616,-1.55338,0.750997,-0.0447871,-0.372712
-1.57622,0.0234423,-1.57189,0.767204,0.0144832,-0.358355
-1.57257,0.0189266,-1.54503,0.751884,-0.0700668,-0.370012
-1.56095,0.0191843,-1.56862,0.759968,0.00729995,-0.407569
-1.5748,0.0205299,-1.56095,0.768626,-0.0256505,-0.363148
-1.57257,0.0230384,-1.54872,0.757203,-0.0564516,-0.369324
-1.61322,0.0256599,-1.557,0.784655,-0.0377687,-0.238865
-1.5733,0.0374022,-1.55522,0.749405,-0.0458552,-0.369131
