roll,pitch,yaw,x,y,z
-1.5733,0.0320783,-1.55852,0.757347,-0.0380658,-0.370348
-1.58169,0.0168189,-1.56658,0.754215,-0.00298804,-0.343095
-1.57511,0.025588,-1.56388,0.768095,-0.0176282,-0.362104
-1.57422,0.023883,-1.55493,0.7577,-0.0492803,-0.365677
-1.573,0.024013,-1.56794,0.764174,-0.00264464,-0.367605
-1.5762,0.0208449,-1.55953,0.762779,-0.0239366,-0.362904
-1.56907,0.02805,-1.55653,0.759412,-0.0418812,-0.381289
-1.57027,0.0252281,-1.57344,0.766825,0.0197144,-0.373187
-1.57027,0.0311301,-1.55799,0.754073,-0.0433592,-0.380579
-1.56689,0.0362199,-1.56609,0.747157,-0.0116961,-0.389132
-1.56634,0.0215106,-1.55776,0.749189,-0.0340931,-0.389091
-1.58004,0.0202971,-1.56209,0.762215,-0.0161431,-0.350996
-1.57636,0.0282521,-1.55212,0.760059,-0.0604544,-0.361369
-1.57179,0.0250363,-1.55559,0.758178,-0.0442026,-0.371725
-1.57391,0.0165411,-1.5537,0.75804,-0.0440816,-0.369157
-1.5746,0.0338858,-1.55738,0.756471,-0.0468027,-0.36832
-1.57365,0.0237509,-1.56606,0.762991,-0.00443503,-0.36352
-1.57275,0.0371737,-1.57254,0.747148,0.00727227,-0.371801
-1.56364,0.0190789,-1.56479,0.745796,-0.0110544,-0.397145
-1.60047,0.023483,-1.55008,0.772064,-0.0532995,-0.285775
-1.57871,0.0255832,-1.56115,0.765331,-0.0268042,-0.351126
-1.58125,0.0232075,-1.55985,0.769734,-0.0335137,-0.341414
-1.60675,0.0295571,-1.56082,0.785614,-0.0295332,-0.256105
-1.57206,0.0227435,-1.56525,0.76775,-0.00576401,-0.371524
-1.5585,0.0161393,-1.57206,0.757354,0.0213255,-0.418602
-1.57785,0.0235397,-1.56267,0.767675,-0.0177114,-0.350687
-1.56662,0.0218859,-1.55517,0.745901,-0.0403029,-0.387411
-1.57211,0.0203427,-1.56232,0.75295,-0.0144889,-0.368492
-1.57126,0.028727,-1.56359,0.760615,-0.0201857,-0.376482
-1.57287,0.0254826,-1.55528,0.759802,-0.0504261,-0.365885
-1.57664,0.0258816,-1.55703,0.763844,-0.0397026,-0.357104
-1.6069,0.0374139,-1.57324,0.800308,0.00613472,-0.249977
-1.57632,0.0247691,-1.56751,0.767634,-0.000742796,-0.355239
-1.57595,0.0231152,-1.56174,0.764715,-0.0176544,-0.359531
-1.56529,0.0289003,-1.55884,0.748887,-0.0298807,-0.393593
-1.59794,0.0217709,-1.56353,0.779051,-0.0198155,-0.290639
-1.56992,0.0323149,-1.55733,0.748213,-0.0363611,-0.379388
-1.57371,0.0224698,-1.57113,0.766495,0.0132008,-0.36661
-1.56655,0.0280205,-1.57242,0.751251,0.00726476,-0.389409
-1.57091,0.0244957,-1.5621,0.763953,-0.0192132,-0.371231
-1.57128,0.0208065,-1.56345,0.759744,-0.0222284,-0.370473
-1.56422,0.0244275,-1.55735,0.764327,-0.0392048,-0.395097
-1.56776,0.0257167,-1.56297,0.759897,-0.0139124,-0.379241
-1.58414,0.0291501,-1.57115,0.778326,0.00755345,-0.326454
-1.57547,0.0172683,-1.55602,0.754258,-0.0372397,-0.363041
-1.58696,0.0217527,-1.56481,0.771609,-0.0078119,-0.326921
-1.57331,0.0265255,-1.56413,0.764649,-0.0132424,-0.361123
-1.59329,0.0237754,-1.55758,0.770067,-0.0306061,-0.306479
-1.56941,0.023894,-1.56379,0.759097,-0.00843033,-0.377488
-1.55851,0.0336424,-1.55528,0.757456,-0.0519873,-0.415803
